name,our_fhtw_lb,our_fhtw_ub,FraSMT_fhtw,Triangulator_fhtw,FraSMT_ghtw
Kakuro-easy-013-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-easy-014-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-015-ext.xml.hg,4.0,4.0,-1,4.0,
Kakuro-easy-016-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-017-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-018-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-019-ext.xml.hg,3.0,4.0,-1,4.0,
Kakuro-easy-020-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-021-ext.xml.hg,3.0,3.0,3.0,-1,
Kakuro-easy-022-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-easy-023-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-024-ext.xml.hg,2.0,3.0,3.0,3.0,
Kakuro-easy-025-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-026-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-027-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-028-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-easy-029-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-030-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-031-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-032-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-033-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-034-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-035-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-036-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-037-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-038-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-039-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-easy-040-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-041-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-042-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-043-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-044-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-045-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-046-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-easy-047-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-048-ext.xml.hg,4.0,4.0,4.0,4.0,
Kakuro-easy-049-ext.xml.hg,3.0,3.0,-1,-1,
Kakuro-easy-050-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-051-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-052-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-easy-053-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-054-ext.xml.hg,4.0,4.0,-1,4.0,
Kakuro-easy-055-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-056-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-easy-057-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-easy-058-ext.xml.hg,3.0,4.0,3.0,3.0,
Kakuro-easy-059-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-easy-060-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-061-ext.xml.hg,3.0,3.0,-1,-1,
Kakuro-easy-062-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-064-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-065-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-068-ext.xml.hg,3.0,5.0,-1,-1,
Kakuro-easy-069-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-070-ext.xml.hg,1.4482758620689662,4.0,-1,3.0,
Kakuro-easy-071-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-072-ext.xml.hg,3.999999500136427,4.0,-1,-1,
Kakuro-easy-073-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-074-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-075-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-easy-076-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-easy-083-ext.xml.hg,3.999999666677249,4.0,-1,-1,
Kakuro-easy-084-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-086-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-087-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-easy-088-ext.xml.hg,3.0,4.0,3.0,-1,
Kakuro-easy-089-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-091-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-093-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-easy-094-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-easy-096-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-easy-097-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-098-ext.xml.hg,2.0,3.0,-1,3.0,
Kakuro-easy-099-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-easy-103-ext.xml.hg,6.0,7.0,-1,-1,
Kakuro-easy-104-ext.xml.hg,4.0,6.0,-1,-1,
Kakuro-easy-106-ext.xml.hg,5.0,6.0,-1,-1,
Kakuro-easy-109-ext.xml.hg,4.999998222222212,6.0,-1,-1,
Kakuro-easy-112-ext.xml.hg,4.0,6.0,-1,-1,
Kakuro-easy-113-ext.xml.hg,6.0,7.0,-1,-1,
Kakuro-easy-114-ext.xml.hg,3.355377066191422,5.0,-1,-1,
Kakuro-easy-115-ext.xml.hg,4.999998750114104,5.0,-1,-1,
Kakuro-easy-117-ext.xml.hg,3.7820998002849273,5.0,-1,-1,
Kakuro-easy-118-ext.xml.hg,3.999999204094415,5.0,-1,-1,
Kakuro-easy-120-ext.xml.hg,4.0,6.0,-1,-1,
Kakuro-easy-121-ext.xml.hg,3.0,5.0,-1,-1,
Kakuro-easy-122-ext.xml.hg,4.0,6.0,-1,-1,
Kakuro-easy-123-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-124-ext.xml.hg,4.999998,5.0,-1,-1,
Kakuro-easy-125-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-126-ext.xml.hg,4.999998499999999,6.0,-1,-1,
Kakuro-easy-127-ext.xml.hg,3.7583416443171886,6.0,-1,-1,
Kakuro-easy-128-ext.xml.hg,4.999998523862714,6.0,-1,-1,
Kakuro-easy-129-ext.xml.hg,3.046481178396072,6.0,-1,-1,
Kakuro-easy-130-ext.xml.hg,5.0,6.0,-1,-1,
Kakuro-easy-131-ext.xml.hg,3.9999999999999987,6.0,-1,-1,
Kakuro-easy-132-ext.xml.hg,4.88830752159877,8.0,-1,-1,
Kakuro-easy-133-ext.xml.hg,3.9999993336,6.0,-1,-1,
Kakuro-easy-134-ext.xml.hg,3.0,5.0,-1,-1,
Kakuro-easy-135-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-easy-136-ext.xml.hg,3.8925980688330077,7.0,-1,-1,
Kakuro-easy-138-ext.xml.hg,3.8037476686119596,5.0,-1,-1,
Kakuro-easy-139-ext.xml.hg,4.3044870263630255,6.0,-1,-1,
Kakuro-easy-142-ext.xml.hg,4.453266532647094,8.0,-1,-1,
Kakuro-easy-146-ext.xml.hg,4.871935816287447,8.0,-1,-1,
Kakuro-easy-148-ext.xml.hg,4.404143027715559,7.0,-1,-1,
Kakuro-easy-149-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-150-ext.xml.hg,4.718347370021805,7.0,-1,-1,
Kakuro-easy-151-ext.xml.hg,4.957216806793913,8.0,-1,-1,
Kakuro-easy-152-ext.xml.hg,3.995270512272767,6.0,-1,-1,
Kakuro-easy-153-ext.xml.hg,3.2675221106830055,5.0,-1,-1,
Kakuro-easy-154-ext.xml.hg,5.0,5.0,-1,-1,
Kakuro-easy-155-ext.xml.hg,4.9999999236109725,6.0,-1,-1,
Kakuro-easy-156-ext.xml.hg,5.0,6.0,-1,-1,
Kakuro-easy-157-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-easy-161-ext.xml.hg,4.9999986462473895,7.0,-1,-1,
Kakuro-easy-162-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-easy-163-ext.xml.hg,4.540710586040022,8.0,-1,-1,
Kakuro-easy-164-ext.xml.hg,3.0923994038748126,5.0,-1,-1,
Kakuro-easy-165-ext.xml.hg,4.6882920721821675,8.0,-1,-1,
Kakuro-hard-000-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-001-ext.xml.hg,2.0,3.0,3.0,3.0,
Kakuro-hard-002-ext.xml.hg,2.0,2.0,2.0,2.0,
Kakuro-hard-003-ext.xml.hg,2.0,3.0,3.0,3.0,
Kakuro-hard-004-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-005-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-006-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-007-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-hard-008-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-009-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-010-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-011-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-012-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-013-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-hard-014-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-015-ext.xml.hg,3.9999989966666667,4.0,4.0,4.0,
Kakuro-hard-016-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-017-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-018-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-019-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-020-ext.xml.hg,1.1428565714285714,4.0,-1,4.0,
Kakuro-hard-021-ext.xml.hg,3.0,3.0,3.0,-1,
Kakuro-hard-022-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-023-ext.xml.hg,1,4.0,4.0,4.0,
Kakuro-hard-024-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-025-ext.xml.hg,3.0,4.0,4.0,-1,
Kakuro-hard-026-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-027-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-028-ext.xml.hg,3.0,4.0,4.0,-1,
Kakuro-hard-029-ext.xml.hg,2.0,3.0,3.0,3.0,
Kakuro-hard-030-ext.xml.hg,1.286842605051912,4.0,4.0,4.0,
Kakuro-hard-031-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-032-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-hard-033-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-034-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-035-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-hard-036-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-037-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-038-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-039-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-hard-040-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-041-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-042-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-043-ext.xml.hg,4.0,4.0,4.0,-1,
Kakuro-hard-044-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-045-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-046-ext.xml.hg,3.0,4.0,4.0,4.0,
Kakuro-hard-047-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-048-ext.xml.hg,4.0,4.0,-1,4.0,
Kakuro-hard-049-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-050-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-051-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-052-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-hard-053-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-054-ext.xml.hg,4.0,4.0,-1,4.0,
Kakuro-hard-055-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-hard-056-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-hard-057-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-hard-058-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-059-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-hard-060-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-061-ext.xml.hg,3.0,3.0,-1,-1,
Kakuro-hard-062-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-064-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-065-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-068-ext.xml.hg,3.0,5.0,-1,-1,
Kakuro-hard-069-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-070-ext.xml.hg,3.0,4.0,-1,3.0,
Kakuro-hard-071-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-072-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-073-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-074-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-075-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-hard-078-ext.xml.hg,3.0,5.0,-1,4.0,
Kakuro-hard-083-ext.xml.hg,3.999999333516666,4.0,-1,-1,
Kakuro-hard-084-ext.xml.hg,2.5445694504543486,5.0,-1,-1,
Kakuro-hard-086-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-087-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-hard-088-ext.xml.hg,3.0,4.0,3.0,-1,
Kakuro-hard-090-ext.xml.hg,3.0,3.0,3.0,3.0,
Kakuro-hard-092-ext.xml.hg,3.0,3.0,-1,3.0,
Kakuro-hard-093-ext.xml.hg,3.0,3.0,-1,-1,
Kakuro-hard-094-ext.xml.hg,2.3367601246105916,5.0,-1,-1,
Kakuro-hard-096-ext.xml.hg,3.0,4.0,3.0,3.0,
Kakuro-hard-097-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-098-ext.xml.hg,3.0,4.0,-1,3.0,
Kakuro-hard-099-ext.xml.hg,3.0,4.0,-1,-1,
Kakuro-hard-103-ext.xml.hg,6.0,7.0,-1,-1,
Kakuro-hard-104-ext.xml.hg,4.0,6.0,-1,-1,
Kakuro-hard-106-ext.xml.hg,5.0,6.0,-1,-1,
Kakuro-hard-109-ext.xml.hg,4.002445480879446,6.0,-1,-1,
Kakuro-hard-112-ext.xml.hg,4.999998749999987,6.0,-1,-1,
Kakuro-hard-113-ext.xml.hg,4.296981528530553,7.0,-1,-1,
Kakuro-hard-114-ext.xml.hg,3.40000594675959,6.0,-1,-1,
Kakuro-hard-115-ext.xml.hg,4.0,6.0,-1,-1,
Kakuro-hard-116-ext.xml.hg,3.380211063978521,5.0,-1,-1,
Kakuro-hard-118-ext.xml.hg,4.999999,6.0,-1,-1,
Kakuro-hard-119-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-121-ext.xml.hg,4.999998223277948,6.0,-1,-1,
Kakuro-hard-122-ext.xml.hg,3.0,5.0,-1,-1,
Kakuro-hard-123-ext.xml.hg,3.7022074504187024,6.0,-1,-1,
Kakuro-hard-124-ext.xml.hg,3.9999991250760227,5.0,-1,-1,
Kakuro-hard-125-ext.xml.hg,3.1255917484402915,5.0,-1,-1,
Kakuro-hard-126-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-127-ext.xml.hg,4.9999994545454545,6.0,-1,-1,
Kakuro-hard-128-ext.xml.hg,3.9999993333394683,6.0,-1,-1,
Kakuro-hard-129-ext.xml.hg,5.0,6.0,-1,-1,
Kakuro-hard-130-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-131-ext.xml.hg,5.0,6.0,-1,-1,
Kakuro-hard-132-ext.xml.hg,4.0,6.0,-1,-1,
Kakuro-hard-133-ext.xml.hg,4.801929367450484,7.0,-1,-1,
Kakuro-hard-134-ext.xml.hg,3.9999987646629527,6.0,-1,-1,
Kakuro-hard-135-ext.xml.hg,2.2543859649122804,5.0,-1,-1,
Kakuro-hard-136-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-hard-137-ext.xml.hg,6.0,6.0,-1,-1,
Kakuro-hard-138-ext.xml.hg,3.923396080200837,6.0,-1,-1,
Kakuro-hard-140-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-141-ext.xml.hg,6.0,6.0,-1,-1,
Kakuro-hard-144-ext.xml.hg,4.634537004326496,8.0,-1,-1,
Kakuro-hard-145-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-149-ext.xml.hg,2.6762555143893243,5.0,-1,-1,
Kakuro-hard-150-ext.xml.hg,4.6758242081618056,8.0,-1,-1,
Kakuro-hard-151-ext.xml.hg,3.9999997142857144,5.0,-1,-1,
Kakuro-hard-153-ext.xml.hg,4.578132702813907,7.0,-1,-1,
Kakuro-hard-154-ext.xml.hg,3.9999989266156155,5.0,-1,-1,
Kakuro-hard-155-ext.xml.hg,5.9999986253399795,7.0,-1,-1,
Kakuro-hard-156-ext.xml.hg,3.911743831670355,6.0,-1,-1,
Kakuro-hard-157-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-158-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-159-ext.xml.hg,5.0,6.0,-1,-1,
Kakuro-hard-161-ext.xml.hg,4.035792811951695,6.0,-1,-1,
Kakuro-hard-162-ext.xml.hg,5.012723262588395,8.0,-1,-1,
Kakuro-hard-163-ext.xml.hg,4.0,5.0,-1,-1,
Kakuro-hard-165-ext.xml.hg,5.0,6.0,-1,-1,
Kakuro-hard-168-ext.xml.hg,4.999999976766552,6.0,-1,-1,
Kakuro-hard-169-ext.xml.hg,4.457215083505871,7.0,-1,-1,
Kakuro-hard-170-ext.xml.hg,4.0,4.0,-1,-1,
Kakuro-hard-171-ext.xml.hg,4.0,6.0,-1,-1,
Kakuro-hard-172-ext.xml.hg,4.503795633672453,8.0,-1,-1,
Kakuro-hard-173-ext.xml.hg,3.9999989669946783,5.0,-1,-1,
Kakuro-hard-174-ext.xml.hg,4.567986237361791,7.0,-1,-1,
Kakuro-medium-000-ext.xml.hg,3.0,3.0,3.0,3.0,
