name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,our_num_runs,our_tot_time
Kakuro-easy-015-ext.xml.hg,4.0,4.0,4,4.0,60,492.62
Kakuro-easy-016-ext.xml.hg,3.0,3.0,3,3.0,60,1360.43
Kakuro-easy-017-ext.xml.hg,3.0,3.0,3,3.0,60,952.39
Kakuro-easy-018-ext.xml.hg,3.0,3.0,3,3.0,60,466.54
Kakuro-easy-019-ext.xml.hg,3.0,4.0,3,4.0,60,808.84
Kakuro-easy-020-ext.xml.hg,3.0,4.0,3,4.0,60,1148.56
Kakuro-easy-021-ext.xml.hg,3.0,3.0,3,3.0,60,1269.37
Kakuro-easy-022-ext.xml.hg,3.0,3.0,3,3.0,60,1177.89
Kakuro-easy-023-ext.xml.hg,3.0,4.0,3,4.0,60,877.52
Kakuro-easy-024-ext.xml.hg,2.0,3.0,2,3.0,60,1091.23
Kakuro-easy-025-ext.xml.hg,3.0,4.0,3,4.0,60,424.67
Kakuro-easy-026-ext.xml.hg,3.0,4.0,3,4.0,60,1091.17
Kakuro-easy-027-ext.xml.hg,3.0,4.0,3,4.0,60,1310.38
Kakuro-easy-028-ext.xml.hg,4.0,4.0,4,4.0,60,1036.49
Kakuro-easy-029-ext.xml.hg,3.0,3.0,3,3.0,60,872.81
Kakuro-easy-030-ext.xml.hg,3.0,4.0,3,4.0,60,1012.29
Kakuro-easy-031-ext.xml.hg,3.0,4.0,3,4.0,60,938.43
Kakuro-easy-032-ext.xml.hg,3.0,3.0,3,3.0,60,1380.55
Kakuro-easy-033-ext.xml.hg,3.0,4.0,3,4.0,60,1147.03
Kakuro-easy-034-ext.xml.hg,3.0,3.0,3,3.0,60,936.97
Kakuro-easy-035-ext.xml.hg,3.0,3.0,3,3.0,60,1225.78
Kakuro-easy-036-ext.xml.hg,3.0,3.0,3,3.0,60,846.66
Kakuro-easy-037-ext.xml.hg,4.0,5.0,4,5.0,60,1325.33
Kakuro-easy-038-ext.xml.hg,3.0,4.0,3,4.0,60,1480.11
Kakuro-easy-039-ext.xml.hg,4.0,4.0,4,4.0,60,974.12
Kakuro-easy-040-ext.xml.hg,3.0,4.0,3,4.0,60,1137.86
Kakuro-easy-041-ext.xml.hg,4.0,5.0,4,5.0,60,1165.75
Kakuro-easy-042-ext.xml.hg,3.0,4.0,3,4.0,60,1971.9
Kakuro-easy-043-ext.xml.hg,3.0,4.0,3,4.0,60,1197.26
Kakuro-easy-044-ext.xml.hg,3.0,4.0,3,4.0,60,1085.32
Kakuro-easy-045-ext.xml.hg,4.0,5.0,4,5.0,60,1127.9
Kakuro-easy-046-ext.xml.hg,3.0,4.0,3,4.0,60,1050.07
Kakuro-easy-047-ext.xml.hg,4.0,5.0,4,5.0,60,1011.22
Kakuro-easy-048-ext.xml.hg,4.0,4.0,4,4.0,60,1369.99
Kakuro-easy-049-ext.xml.hg,3.0,3.0,3,3.0,60,1110.64
Kakuro-easy-050-ext.xml.hg,3.0,4.0,3,4.0,60,1504.62
Kakuro-easy-051-ext.xml.hg,4.0,5.0,4,5.0,60,1299.5
Kakuro-easy-052-ext.xml.hg,4.0,4.0,4,4.0,60,1139.17
Kakuro-easy-053-ext.xml.hg,4.0,5.0,4,5.0,60,1166.87
Kakuro-easy-054-ext.xml.hg,4.0,4.0,4,4.0,60,1860.6
Kakuro-easy-055-ext.xml.hg,3.0,4.0,3,4.0,60,1253.59
Kakuro-easy-056-ext.xml.hg,3.0,3.0,3,3.0,60,1464.64
Kakuro-easy-057-ext.xml.hg,4.0,4.0,4,4.0,60,1116.79
Kakuro-easy-058-ext.xml.hg,3.0,4.0,3,4.0,60,2168.84
Kakuro-easy-059-ext.xml.hg,3.0,3.0,3,3.0,60,1918.41
Kakuro-easy-060-ext.xml.hg,3.0,4.0,3,4.0,60,1799.66
Kakuro-easy-061-ext.xml.hg,3.0,3.0,3,3.0,60,3187.85
Kakuro-easy-062-ext.xml.hg,3.0,4.0,3,4.0,51,3600
Kakuro-easy-064-ext.xml.hg,3.0,4.0,3,4.0,60,2039.31
Kakuro-easy-065-ext.xml.hg,3.0,4.0,3,4.0,60,1947.68
Kakuro-easy-068-ext.xml.hg,3.0,5.0,3,5.0,60,1697.22
Kakuro-easy-069-ext.xml.hg,3.0,4.0,3,4.0,60,2306.82
Kakuro-easy-070-ext.xml.hg,1.4482758620689662,4.0,2,4.0,46,3600
Kakuro-easy-071-ext.xml.hg,3.0,4.0,3,4.0,60,2576.89
Kakuro-easy-072-ext.xml.hg,3.999999500136427,4.0,4,4.0,60,2588.37
Kakuro-easy-073-ext.xml.hg,3.0,4.0,3,4.0,60,1290.93
Kakuro-easy-074-ext.xml.hg,3.0,4.0,3,4.0,60,1731.14
Kakuro-easy-075-ext.xml.hg,3.0,3.0,3,3.0,60,2943.58
Kakuro-easy-076-ext.xml.hg,3.0,3.0,3,3.0,60,1695.63
Kakuro-easy-083-ext.xml.hg,3.999999666677249,4.0,4,4.0,60,2758.89
Kakuro-easy-084-ext.xml.hg,4.0,5.0,4,5.0,60,2894.71
Kakuro-easy-086-ext.xml.hg,3.0,4.0,3,4.0,60,1933.24
Kakuro-easy-087-ext.xml.hg,4.0,4.0,4,4.0,60,3512.39
Kakuro-easy-088-ext.xml.hg,3.0,4.0,3,4.0,60,2628.48
Kakuro-easy-089-ext.xml.hg,3.0,4.0,3,4.0,60,3038.68
Kakuro-easy-091-ext.xml.hg,3.0,3.0,3,3.0,56,3600
Kakuro-easy-093-ext.xml.hg,3.0,3.0,3,3.0,60,1528.59
Kakuro-easy-094-ext.xml.hg,4.0,4.0,4,4.0,60,2536.85
Kakuro-easy-096-ext.xml.hg,3.0,3.0,3,3.0,60,1587.56
Kakuro-easy-097-ext.xml.hg,4.0,5.0,4,5.0,55,3600
Kakuro-easy-098-ext.xml.hg,2.0,3.0,2,3.0,58,3600
Kakuro-easy-099-ext.xml.hg,3.0,4.0,3,4.0,52,3600
Kakuro-easy-103-ext.xml.hg,6.0,7.0,6,7.0,51,3600
Kakuro-easy-104-ext.xml.hg,4.0,6.0,4,6.0,60,2030.95
Kakuro-easy-106-ext.xml.hg,5.0,6.0,5,6.0,60,1913.97
Kakuro-easy-109-ext.xml.hg,4.999998222222212,6.0,5,6.0,57,3600
Kakuro-easy-112-ext.xml.hg,4.0,6.0,4,6.0,51,3600
Kakuro-easy-113-ext.xml.hg,6.0,7.0,6,7.0,52,3600
Kakuro-easy-114-ext.xml.hg,3.355377066191422,5.0,4,5.0,37,3600
Kakuro-easy-115-ext.xml.hg,4.999998750114104,5.0,5,5.0,57,3600
Kakuro-easy-117-ext.xml.hg,3.7820998002849273,5.0,4,5.0,50,3600
Kakuro-easy-118-ext.xml.hg,3.999999204094415,5.0,4,5.0,60,3556.92
Kakuro-easy-120-ext.xml.hg,4.0,6.0,4,6.0,54,3600
Kakuro-easy-121-ext.xml.hg,3.0,5.0,3,5.0,60,3062.36
Kakuro-easy-122-ext.xml.hg,4.0,6.0,4,6.0,53,3600
Kakuro-easy-123-ext.xml.hg,4.0,5.0,4,5.0,58,3600
Kakuro-easy-124-ext.xml.hg,4.999998,5.0,5,5.0,60,2919.65
Kakuro-easy-125-ext.xml.hg,4.0,5.0,4,5.0,57,3600
Kakuro-easy-126-ext.xml.hg,4.999998499999999,6.0,5,6.0,51,3600
Kakuro-easy-127-ext.xml.hg,3.7583416443171886,6.0,4,6.0,50,3600
