name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,our_num_runs,our_tot_time
Pi-40-10-07948-40-54.xml.hg,6.0,8.0,6,8.0,60,3298.96
Pi-40-10-07948-40-55.xml.hg,6.0,7.0,6,7.0,60,2465.72
Pi-40-10-07948-40-56.xml.hg,5.5,6.5,6,7.0,60,2634.03
Pi-40-10-07948-40-57.xml.hg,5.999999813520668,7.5,6,8.0,60,2583.09
Pi-40-10-07948-40-58.xml.hg,5.999999666666667,7.0,6,7.0,60,2466.83
Pi-40-10-07948-40-59.xml.hg,4.5,6.0,5,6.0,60,1800.12
Pi-40-10-07948-40-60.xml.hg,6.5,7.5,7,8.0,60,3125.47
Pi-40-10-07948-40-61.xml.hg,6.0,7.0,6,7.0,60,2806.32
Pi-40-10-07948-40-62.xml.hg,5.5,6.5,6,7.0,60,2204.65
Pi-40-10-07948-40-63.xml.hg,6.0,8.0,6,8.0,60,2946.26
Pi-40-10-07948-40-64.xml.hg,6.0,6.5,6,7.0,60,2526.71
Pi-40-10-07948-40-65.xml.hg,6.5,8.0,7,8.0,60,3290.85
Pi-40-10-07948-40-66.xml.hg,5.999999782009197,6.5,6,7.0,60,2381.9
Pi-40-10-07948-40-67.xml.hg,5.999999304366227,7.5,6,8.0,60,2555.86
Pi-40-10-07948-40-68.xml.hg,6.0,7.0,6,7.0,60,3230.97
Pi-40-10-07948-40-69.xml.hg,5.5,7.5,6,8.0,60,2712.1
Pi-40-10-07948-40-70.xml.hg,5.5,7.0,6,7.0,60,2581.21
Pi-40-10-07948-40-71.xml.hg,6.5,8.0,7,8.0,60,3102.13
Pi-40-10-07948-40-72.xml.hg,5.5,7.0,6,7.0,60,2996.51
Pi-40-10-07948-40-73.xml.hg,5.5,7.5,6,8.0,60,2453.75
Pi-40-10-07948-40-74.xml.hg,5.5,7.0,6,7.0,60,2522.36
Pi-40-10-07948-40-75.xml.hg,6.0,7.0,6,8.0,60,2368.45
Pi-40-10-07948-40-76.xml.hg,5.5,7.0,6,7.0,60,2730.62
Pi-40-10-07948-40-77.xml.hg,6.0,7.5,6,8.0,60,2941.6
Pi-40-10-07948-40-78.xml.hg,6.0,7.5,6,8.0,60,2683.31
Pi-40-10-07948-40-79.xml.hg,6.0,6.5,6,7.0,60,2415.8
Pi-40-10-07948-40-80.xml.hg,5.0,6.0,5,6.0,60,1813.8
Pi-40-10-07948-40-81.xml.hg,6.0,7.0,6,7.0,60,2806.37
Pi-40-10-07948-40-82.xml.hg,5.5,6.5,6,7.0,60,2489.53
Pi-40-10-07948-40-83.xml.hg,6.0,8.0,6,8.0,60,2509.8
Pi-40-10-07948-40-84.xml.hg,5.0,7.5,5,8.0,60,2942.27
Pi-40-10-07948-40-85.xml.hg,5.5,7.0,6,7.0,60,2220.66
Pi-40-10-07948-40-86.xml.hg,5.0,6.5,5,7.0,60,2252.04
Pi-40-10-07948-40-87.xml.hg,6.0,8.0,6,8.0,60,2618.02
Pi-40-10-07948-40-88.xml.hg,6.0,7.0,6,8.0,60,2454.76
Pi-40-10-07948-40-89.xml.hg,5.5,7.5,6,8.0,60,2846.09
Pi-40-10-07948-40-90.xml.hg,6.0,7.0,6,7.0,60,1978.1
Pi-40-10-07948-40-91.xml.hg,6.0,7.5,6,8.0,60,3008.34
Pi-40-10-07948-40-92.xml.hg,6.0,7.5,6,8.0,60,2409.99
Pi-40-10-07948-40-93.xml.hg,5.5,7.0,6,7.0,60,2327.51
Pi-40-10-07948-40-94.xml.hg,5.4999987636358965,7.0,6,7.0,60,2116.11
Pi-40-10-07948-40-95.xml.hg,6.0,7.5,6,8.0,60,2829.51
Pi-40-10-07948-40-96.xml.hg,5.9999993889904175,7.0,6,7.0,60,2555.0
Pi-40-10-07948-40-97.xml.hg,6.0,7.0,6,7.0,60,2590.16
Pi-40-10-07948-40-98.xml.hg,5.5,7.0,6,7.0,60,2467.24
Pi-40-10-07948-40-99.xml.hg,5.5,7.0,6,7.0,60,2467.35
Renault-souffleuse-pos.xml.hg,2.0,2.0,2,2.0,60,647.33
Renault-souffleuse.xml.hg,2.0,2.0,2,2.0,60,904.93
STB-128-q1.hg,1,1.0,1,1.0,60,53.56
STB-128-q10.hg,1,1.0,1,1.0,60,54.99
STB-128-q11.hg,1,1.0,1,1.0,60,78.29
STB-128-q12.hg,1,1.0,1,1.0,60,37.31
STB-128-q13.hg,1,1.0,1,1.0,60,38.94
STB-128-q14.hg,1,1.0,1,1.0,60,32.24
STB-128-q15.hg,1,1.0,1,1.0,60,34.77
STB-128-q16.hg,1,1.0,1,1.0,60,74.79
STB-128-q17.hg,1,1.0,1,1.0,60,36.45
STB-128-q18.hg,1,1.0,1,1.0,60,56.73
STB-128-q19.hg,1,1.0,1,1.0,60,116.83
STB-128-q2.hg,1,1.0,1,1.0,60,79.77
STB-128-q20.hg,1,1.0,1,1.0,60,38.39
STB-128-q3.hg,1,1.0,1,1.0,60,35.0
STB-128-q4.hg,1,1.0,1,1.0,60,82.03
STB-128-q5.hg,1,1.0,1,1.0,60,55.69
STB-128-q6.hg,1,1.0,1,1.0,60,35.5
STB-128-q7.hg,1,1.0,1,1.0,60,92.29
STB-128-q8.hg,1,1.0,1,1.0,60,55.03
STB-128-q9.hg,1,1.0,1,1.0,60,54.73
adder_15.hg,2.0,2.0,2,2.0,60,1884.38
adder_25.hg,1.0714285714285714,2.0,2,2.0,41,3600
adder_50.hg,1.0294117647058822,2.0,2,2.0,46,3600
adder_75.hg,1,2.0,1,2.0,23,3600
adder_99.hg,1,2.0,1,2.0,24,3600
aim-50-1-6-sat-1.xml.hg,6.0,8.5,6,9.0,53,3535.65
aim-50-1-6-sat-2.xml.hg,6.5,8.0,7,9.0,54,3600
aim-50-1-6-sat-3.xml.hg,6.0,9.0,6,9.0,54,3600
aim-50-1-6-sat-4.xml.hg,6.0,8.666666666666666,6,9.0,54,3600
aim-50-1-6-unsat-1.xml.hg,6.666665704610144,8.0,7,8.0,60,3093.18
aim-50-1-6-unsat-2.xml.hg,3.5193929858617063,8.5,4,10.0,36,3596.01
aim-50-1-6-unsat-3.xml.hg,6.0,8.0,6,8.0,60,3573.49
aim-50-1-6-unsat-4.xml.hg,3.614432735718061,9.5,4,11.0,37,3505.33
aim-50-1_6-no-3.hg,6.0,8.0,6,8.0,58,3539.43
aim-50-2-0-sat-1.xml.hg,3.506566592251782,10.0,4,11.0,28,3517.55
aim-50-2-0-sat-2.xml.hg,3.3779517860328565,10.0,4,11.0,30,3551.88
aim-50-2-0-sat-3.xml.hg,3.510709268111667,10.0,4,11.0,27,3505.23
aim-50-2-0-sat-4.xml.hg,3.4536819528932683,9.5,4,10.0,33,3559.45
aim-50-2-0-unsat-1.xml.hg,3.653880161449209,11.166666666666666,4,13.0,21,3487.31
aim-50-2-0-unsat-2.xml.hg,3.596525784708481,10.428571428571429,4,13.0,22,3561.92
aim-50-2-0-unsat-3.xml.hg,3.6049198433515452,10.923076923076923,4,13.0,21,3509.77
aim-50-2-0-unsat-4.xml.hg,3.4918666684764124,10.571428571428571,4,11.0,26,3491.17
aim-50-2_0-no-3.hg,3.599400097515049,10.0,4,12.0,24,3511.14
aim-50-2_0-yes1-3.hg,3.3684972122757046,9.686274509803921,4,11.0,26,3591.53
aim-50-3_4-yes1-3.hg,4.046475771641768,13.0,5,16.0,14,3600
atv_partial_system.hg,2.0,3.0,2,3.0,60,3061.13
b02.hg,3.0,3.0,3,3.0,60,508.71
b06.hg,3.75,4.0,4,4.0,60,572.88
bridge_15.hg,2.0,2.0,2,2.0,60,1065.98
bridge_25.hg,2.0,2.0,2,2.0,60,691.73
bridge_50.hg,2.0,2.0,2,2.0,60,1111.7
bridge_75.hg,2.0,2.0,2,2.0,60,2096.41
bridge_99.hg,2.0,2.0,2,2.0,59,3600
clique_15.hg,6.0,7.5,6,8.0,60,1973.65
cnf-2-40-0100-730621.xml.hg,6.0,7.0,6,7.0,60,2348.54
cnf-2-40-0100-730622.xml.hg,5.5,6.5,6,7.0,60,1866.25
cnf-2-40-0100-730623.xml.hg,5.9999998454169425,6.5,6,7.0,60,2210.19
cnf-2-40-0100-730624.xml.hg,5.5,7.0,6,7.0,60,2049.22
cnf-2-40-0100-730625.xml.hg,5.9999986666666665,7.0,6,7.0,60,2380.77
cnf-2-40-0100-730626.xml.hg,5.0,6.0,5,6.0,60,2403.06
cnf-2-40-0100-730627.xml.hg,6.0,7.0,6,7.0,60,2827.29
cnf-2-40-0100-730628.xml.hg,6.0,7.0,6,7.0,60,2721.62
cnf-2-40-0100-730629.xml.hg,5.5,6.5,6,7.0,60,1871.34
cnf-2-40-0100-730630.xml.hg,5.999999866044749,7.5,6,8.0,60,2353.94
cnf-2-80-0100-735541.xml.hg,5.0,5.0,5,5.0,60,1153.84
cnf-2-80-0100-735542.xml.hg,5.0,5.0,5,5.0,60,1007.25
cnf-2-80-0100-735543.xml.hg,5.0,6.0,5,6.0,60,889.24
cnf-2-80-0100-735544.xml.hg,4.0,5.0,4,5.0,60,1092.89
cnf-2-80-0100-735545.xml.hg,4.0,5.0,4,5.0,60,767.73
cnf-2-80-0100-735546.xml.hg,5.0,6.0,5,6.0,60,1159.88
cnf-2-80-0100-735547.xml.hg,5.0,6.0,5,6.0,60,1932.33
cnf-2-80-0100-735548.xml.hg,4.0,5.0,4,5.0,60,743.97
cnf-2-80-0100-735549.xml.hg,4.0,4.0,4,4.0,60,1158.26
cnf-2-80-0100-735550.xml.hg,4.0,4.5,4,5.0,60,1063.55
cnf-3-40-0100-730621.xml.hg,3.257634557608381,9.208333333333334,4,11.0,23,3600
cnf-3-40-0100-730622.xml.hg,3.1531833527442283,8.333333333333334,4,10.0,33,3560.34
cnf-3-40-0100-730623.xml.hg,3.2275876160668098,9.222222222222221,4,12.0,25,3495.45
cnf-3-40-0100-730624.xml.hg,2.971892248555817,8.333333333333332,3,10.0,31,3513.18
cnf-3-40-0100-730625.xml.hg,3.1697432520758917,9.0,4,11.0,27,3574.42
cnf-3-40-0100-730626.xml.hg,3.1404701382309983,9.0,4,11.0,27,3506.58
cnf-3-40-0100-730627.xml.hg,3.3000765932987717,9.03125,4,11.0,26,3526.12
cnf-3-40-0100-730628.xml.hg,3.0142853805874092,8.216216216216216,4,11.0,30,3488.85
cnf-3-40-0100-730629.xml.hg,3.196148214430642,9.238095238095237,4,12.0,24,3468.96
cnf-3-40-0100-730630.xml.hg,3.153717948642563,9.0,4,11.0,29,3559.79
cnf-3-80-0100-735541.xml.hg,4.343088770278994,12.833333333333334,5,13.0,29,3600
cnf-3-80-0100-735542.xml.hg,3.978497388558123,12.333333333333334,4,13.0,29,3600
cnf-3-80-0100-735543.xml.hg,4.422554999233292,13.0,5,14.0,22,2756.29
cnf-3-80-0100-735544.xml.hg,3.87701711474382,12.0,4,13.0,24,3600
cnf-3-80-0100-735545.xml.hg,4.1341517886196115,12.75,5,14.0,28,3600
cnf-3-80-0100-735546.xml.hg,3.9979167345520845,12.0,4,13.0,24,2694.98
cnf-3-80-0100-735547.xml.hg,4.416841857813103,11.666666666666666,5,12.0,20,3600
cnf-3-80-0100-735548.xml.hg,3.808223460441487,13.5,4,14.0,12,1015.3
cnf-3-80-0100-735549.xml.hg,4.415056164579851,11.875,5,13.0,23,3600
cnf-3-80-0100-735550.xml.hg,4.051884635852728,11.0,5,12.0,32,3600
cril-0_X2.xml.hg,3.0,4.0,3,4.0,60,956.08
deep100-q01.hg,1,1.0,1,1.0,60,85.17
deep100-q02.hg,1,1.0,1,1.0,60,54.36
deep100-q03.hg,1,1.0,1,1.0,60,84.11
deep100-q04.hg,1,1.0,1,1.0,60,54.27
deep100-q05.hg,1,1.0,1,1.0,60,83.17
deep100-q06.hg,1,1.0,1,1.0,60,79.43
deep100-q07.hg,1,1.0,1,1.0,60,54.64
deep100-q08.hg,1,1.0,1,1.0,60,79.06
deep100-q09.hg,1,1.0,1,1.0,60,55.61
deep100-q10.hg,1,1.0,1,1.0,60,78.59
deep100-q11.hg,1,1.0,1,1.0,60,46.31
deep100-q12.hg,1,1.0,1,1.0,60,57.04
deep100-q13.hg,1,1.0,1,1.0,60,43.87
deep100-q14.hg,1,1.0,1,1.0,60,50.75
deep100-q15.hg,1,1.0,1,1.0,60,44.07
deep100-q16.hg,1,1.0,1,1.0,60,106.45
deep100-q17.hg,1,1.0,1,1.0,60,77.85
deep100-q18.hg,1,1.0,1,1.0,60,103.52
deep100-q19.hg,1,1.0,1,1.0,60,75.09
deep100-q20.hg,1,1.0,1,1.0,60,102.75
deep200-q01.hg,1,1.0,1,1.0,60,54.2
deep200-q02.hg,1,1.0,1,1.0,60,83.44
deep200-q03.hg,1,1.0,1,1.0,60,55.37
deep200-q04.hg,1,1.0,1,1.0,60,82.68
deep200-q05.hg,1,1.0,1,1.0,60,52.69
deep200-q06.hg,1,1.0,1,1.0,60,53.1
deep200-q07.hg,1,1.0,1,1.0,60,78.75
deep200-q08.hg,1,1.0,1,1.0,60,53.81
deep200-q09.hg,1,1.0,1,1.0,60,79.54
deep200-q10.hg,1,1.0,1,1.0,60,57.42
deep200-q11.hg,1,1.0,1,1.0,60,50.83
deep200-q12.hg,1,1.0,1,1.0,60,46.12
deep200-q13.hg,1,1.0,1,1.0,60,49.77
deep200-q14.hg,1,1.0,1,1.0,60,46.46
deep200-q15.hg,1,1.0,1,1.0,60,50.53
deep200-q16.hg,1,1.0,1,1.0,60,78.33
deep200-q17.hg,1,1.0,1,1.0,60,103.79
deep200-q18.hg,1,1.0,1,1.0,60,75.96
deep200-q19.hg,1,1.0,1,1.0,60,104.8
deep200-q20.hg,1,1.0,1,1.0,60,70.08
deep300-queries.hg,1,1.0,1,1.0,60,40.69
doctors100k-q08.hg,1,1.0,1,1.0,60,77.11
doctors100k-q09.hg,1,1.0,1,1.0,60,51.37
doctors10k-q08.hg,1,1.0,1,1.0,60,75.3
doctors10k-q09.hg,1,1.0,1,1.0,60,51.09
doctors1m-q08.hg,1,1.0,1,1.0,60,76.8
doctors1m-q09.hg,1,1.0,1,1.0,60,52.25
doctors500k-q01.hg,1,1.0,1,1.0,60,78.72
doctors500k-q02.hg,1,1.0,1,1.0,60,54.37
doctors500k-q03.hg,1,1.0,1,1.0,60,78.49
doctors500k-q04.hg,1,1.0,1,1.0,60,52.28
doctors500k-q05.hg,1,1.0,1,1.0,60,75.81
doctors500k-q07.hg,1,1.0,1,1.0,60,49.58
doctors500k-q08.hg,1,1.0,1,1.0,60,74.01
doctors500k-q09.hg,1,1.0,1,1.0,60,52.0
dubois20.hg,2.0,2.0,2,2.0,60,186.5
dubois21.hg,2.0,2.0,2,2.0,60,252.26
dubois23.hg,2.0,2.0,2,2.0,60,168.28
dubois25.hg,2.0,2.0,2,2.0,60,187.06
dubois27.hg,2.0,2.0,2,2.0,60,146.14
dubois28.hg,2.0,2.0,2,2.0,60,316.24
dubois29.hg,2.0,2.0,2,2.0,60,243.41
dubois30.hg,2.0,2.0,2,2.0,60,442.26
flat30-1.hg,4.740249964687661,10.0,5,10.0,38,3600
flat30-99.hg,4.401415934122741,12.0,5,12.0,25,3600
grid2d_10.hg,4.0,4.0,4,4.0,60,416.96
grid2d_15.hg,5.0,6.0,5,6.0,58,3600
grid2d_20.hg,5.234369422225974,7.0,6,7.0,50,3600
grid2d_25.hg,6.619877781936702,9.0,7,9.0,50,3600
grid2d_30.hg,7.931878618532055,11.0,8,11.0,38,3600
grid2d_35.hg,1,18.0,1,18.0,3,3600
grid2d_40.hg,7.644023098220255,15.0,8,15.0,26,3600
grid2d_45.hg,1,22.0,1,22.0,5,1118.67
grid2d_50.hg,1,24.0,1,24.0,2,3600
grid2d_60.hg,1,34.0,1,34.0,1,3600
grid2d_70.hg,1,44.0,1,44.0,1,3600
grid2d_75.hg,1,38.0,1,38.0,1,3600
grid3d_5.hg,5.999997998155555,7.0,6,8.0,53,3600
grid4d_3.hg,5.0,6.0,5,7.0,60,2071.57
grid5.hg,3.0,3.0,3,3.0,60,284.17
hg_adlerexample.txt,2.0,2.0,2,2.0,60,136.43
hole9.hg,6.0,10.0,6,10.0,60,3360.38
job-10a.hg,1,1.0,1,1.0,60,79.42
job-11a.hg,1,1.0,1,1.0,60,98.97
job-12a.hg,1,1.0,1,1.0,60,84.02
job-13a.hg,1,1.0,1,1.0,60,90.95
job-14a.hg,1.5,1.5,2,2.0,60,165.4
job-15a.hg,1,1.0,1,1.0,60,93.19
job-16a.hg,1,1.0,1,1.0,60,90.63
job-17a.hg,1,1.0,1,1.0,60,84.37
job-18a.hg,1,1.0,1,1.0,60,76.09
job-19a.hg,1,1.0,1,1.0,60,102.06
job-1a.hg,1,1.0,1,1.0,60,69.0
job-20a.hg,1.5,1.5,2,2.0,60,147.06
job-21a.hg,1,1.0,1,1.0,60,99.83
job-22a.hg,1.5,1.5,2,2.0,60,113.62
job-23a.hg,1.5,1.5,2,2.0,60,172.27
job-24a.hg,1,1.0,1,1.0,60,112.25
job-25a.hg,1,1.0,1,1.0,60,70.27
job-26a.hg,1.5,1.5,2,2.0,60,143.53
job-27a.hg,1,1.0,1,1.0,60,94.48
job-28a.hg,1.5,1.5,2,2.0,60,156.59
job-29a.hg,2.0,2.0,2,2.0,60,156.96
job-2a.hg,1,1.0,1,1.0,60,82.71
job-30a.hg,1,1.0,1,1.0,60,84.76
job-31a.hg,1,1.0,1,1.0,60,97.54
job-32a.hg,1,1.0,1,1.0,60,65.44
job-33a.hg,1,1.0,1,1.0,60,101.1
job-3a.hg,1.0000000000153846,1.0,1,1.0,60,33.89
job-4a.hg,1,1.0,1,1.0,60,71.51
job-5a.hg,1,1.0,1,1.0,60,31.73
job-6a.hg,1,1.0,1,1.0,60,77.95
job-7a.hg,1,1.0,1,1.0,60,84.16
job-8a.hg,1,1.0,1,1.0,60,82.73
job-9a.hg,1,1.0,1,1.0,60,89.0
lubm-q1.hg,1,1.0,1,1.0,60,84.96
lubm-q10.hg,1,1.0,1,1.0,60,51.38
lubm-q11.hg,1,1.0,1,1.0,60,85.01
lubm-q12.hg,1,1.0,1,1.0,60,89.99
lubm-q13.hg,1,1.0,1,1.0,60,48.65
lubm-q14.hg,1,1.0,1,1.0,60,84.44
lubm-q2.hg,1.5,1.5,2,2.0,60,93.16
lubm-q3.hg,1,1.0,1,1.0,60,85.1
lubm-q4.hg,1,1.0,1,1.0,60,58.12
lubm-q5.hg,1,1.0,1,1.0,60,53.36
lubm-q6.hg,1,1.0,1,1.0,60,51.0
lubm-q7.hg,1,1.0,1,1.0,60,53.6
lubm-q8.hg,1,1.0,1,1.0,60,54.4
lubm-q9.hg,1.5,1.5,2,2.0,60,65.13
mdd-7-25-5-56-01.xml.hg,3.222929936305732,3.428571428571433,4,5.0,55,3600
mdd-7-25-5-56-02.xml.hg,3.1333983422720624,3.328724666865413,4,5.0,59,3600
mdd-7-25-5-56-03.xml.hg,3.2081585081585082,3.428571428571429,4,5.0,52,3600
mdd-7-25-5-56-04.xml.hg,3.184078964235354,3.326202118989405,4,5.0,53,3600
mdd-7-25-5-56-05.xml.hg,3.192602150104078,3.5714285714285716,4,5.0,53,3600
mdd-7-25-5-56-06.xml.hg,3.1590224693073896,3.3876876112948358,4,5.0,60,3456.75
mdd-7-25-5-56-07.xml.hg,3.0847736625514406,3.4285714285714293,4,5.0,52,3600
mdd-7-25-5-56-08.xml.hg,3.1824015796618537,3.4432063556732526,4,5.0,55,3571.8
mdd-7-25-5-56-09.xml.hg,3.0527777777777767,3.3209998057372276,4,5.0,53,3600
mdd-7-25-5-56-10.xml.hg,3.2230962542193935,3.4400550929693856,4,5.0,52,3573.88
mdd-7-25-5-56-11.xml.hg,3.1621489809538477,3.3395630491569697,4,5.0,52,3600
mdd-7-25-5-56-12.xml.hg,3.1425111536010197,3.361081234314682,4,5.0,54,3594.41
mdd-7-25-5-56-13.xml.hg,3.179542981501632,3.428571428571429,4,5.0,51,3600
mdd-7-25-5-56-14.xml.hg,3.1670832532205346,3.3454038997214486,4,5.0,54,3567.26
mdd-7-25-5-56-15.xml.hg,3.150904919704308,3.4285714285714284,4,5.0,51,3600
mdd-7-25-5-56-16.xml.hg,3.15878416695021,3.4631254061078622,4,5.0,57,3600
mdd-7-25-5-56-17.xml.hg,3.2070742390224156,3.4285714285714293,4,5.0,53,3600
mdd-7-25-5-56-18.xml.hg,3.1633880825057297,3.428571428571429,4,5.0,57,3543.02
mdd-7-25-5-56-19.xml.hg,3.080984233158146,3.428571428571429,4,5.0,51,3600
mdd-7-25-5-56-20.xml.hg,3.084302325581395,3.428571428571429,4,5.0,52,3567.92
mdd-7-25-5-56-21.xml.hg,3.1342045218834267,3.4285714285714284,4,5.0,53,3600
mdd-7-25-5-56-22.xml.hg,3.0913796984019806,3.4285714285714284,4,5.0,51,3562.6
mdd-7-25-5-56-23.xml.hg,3.082815734989648,3.4285714285714275,4,5.0,51,3600
mdd-7-25-5-56-24.xml.hg,3.209017825934988,3.469890033164601,4,5.0,52,3558.55
mdd-7-25-5-56-25.xml.hg,3.1456743002544534,3.3937229844014283,4,5.0,54,3600
mdd-7-25-5-ps05-psh07-1.xml.hg,3.1976948935489036,3.428571428571429,4,5.0,52,3587.81
mdd-7-25-5-ps05-psh07-2.xml.hg,3.203592065437627,3.3790798269760125,4,5.0,54,3600
mdd-7-25-5-ps05-psh07-3.xml.hg,3.218009478672986,3.377697841726619,4,5.0,56,3600
mdd-7-25-5-ps05-psh07-4.xml.hg,3.2095238095238097,3.4285714285714293,4,5.0,51,3600
mdd-7-25-5-ps05-psh07-5.xml.hg,3.143037974683545,3.3337533602150535,4,4.0,54,3600
mdd-7-25-5-ps05-psh07-6.xml.hg,3.078736105393166,3.4285714285714284,4,5.0,51,3600
mdd-7-25-5-ps05-psh07-7.xml.hg,3.0513507219375873,3.428571428571429,4,5.0,52,3596.82
mdd-7-25-5-ps05-psh07-8.xml.hg,3.2151639344262293,3.4407593390560853,4,5.0,54,3600
mdd-7-25-5-ps05-psh07-9.xml.hg,3.1213045966049973,3.428571428571429,4,5.0,52,3535.92
mdd-7-25-5-ps05-psh09-0.xml.hg,3.092402464065709,3.3375474083438688,4,5.0,53,3600
mdd-7-25-5-ps05-psh09-1.xml.hg,3.1449806556709428,3.4285714285714284,4,5.0,53,3533.74
mdd-7-25-5-ps05-psh09-2.xml.hg,1.8771966089952785,3.447367191515208,2,5.0,50,3600
mdd-7-25-5-ps05-psh09-3.xml.hg,3.2102228682170546,3.441988950276243,4,5.0,51,3600
mdd-7-25-5-ps05-psh09-4.xml.hg,1.8698581215618901,3.4346241932125756,2,5.0,50,3600
mdd-7-25-5-ps05-psh09-5.xml.hg,1.858650518830389,3.4466422269669255,2,5.0,50,3600
mdd-7-25-5-ps05-psh09-6.xml.hg,3.059581676240978,3.301885755126725,4,5.0,54,3600
mdd-7-25-5-ps05-psh09-7.xml.hg,3.188990211662344,3.4285714285714284,4,5.0,51,3543.98
mdd-7-25-5-ps05-psh09-8.xml.hg,3.1798716563949427,3.4285714285714297,4,5.0,51,3600
mdd-7-25-5-ps05-psh09-9.xml.hg,3.15356362046349,3.4285714285714284,4,5.0,52,3596.51
par8-1-c.hg,5.0,5.5,5,6.0,60,1506.76
par8-2-c.hg,5.0,5.0,5,5.0,60,724.45
par8-3-c.hg,5.5,6.0,6,6.0,60,1344.49
par8-4-c.hg,5.5,5.75,6,6.0,60,1154.36
par8-5-c.hg,5.5,6.0,6,6.0,60,926.67
pigeonsPlus-06-03.xml.hg,2.5,3.0,3,3.0,60,250.39
pigeonsPlus-06-04.xml.hg,2.0,3.0,2,3.0,60,305.31
pigeonsPlus-06-05.xml.hg,2.0,3.0,2,3.0,60,429.37
pigeonsPlus-06-06.xml.hg,2.0,3.0,2,3.0,60,401.07
pigeonsPlus-06-07.xml.hg,2.0,3.0,2,3.0,60,426.12
pigeonsPlus-06-08.xml.hg,2.5,3.0,3,3.0,60,436.02
pigeonsPlus-06-09.xml.hg,2.0,3.0,2,3.0,60,419.26
pigeonsPlus-06-10.xml.hg,2.5,3.0,3,3.0,60,1040.97
pigeonsPlus-07-03.xml.hg,2.5,3.5,3,4.0,60,469.3
pigeonsPlus-07-04.xml.hg,2.5,3.5,3,4.0,60,436.95
pigeonsPlus-07-05.xml.hg,2.5,3.5,3,4.0,60,517.36
pigeonsPlus-07-06.xml.hg,2.5,3.5,3,4.0,60,519.01
pigeonsPlus-07-07.xml.hg,2.5,3.5,3,4.0,60,526.96
pigeonsPlus-07-08.xml.hg,2.5,3.5,3,4.0,60,753.73
pigeonsPlus-07-09.xml.hg,2.5,3.5,3,4.0,60,697.89
pigeonsPlus-08-03.xml.hg,2.5,4.0,3,4.0,60,504.12
pigeonsPlus-08-04.xml.hg,3.0,4.0,3,4.0,60,635.65
pigeonsPlus-08-05.xml.hg,3.0,4.0,3,4.0,60,651.8
pigeonsPlus-08-06.xml.hg,3.0,4.0,3,4.0,60,725.59
pigeonsPlus-08-07.xml.hg,3.0,4.0,3,4.0,60,1519.45
pigeonsPlus-08-08.xml.hg,3.0,4.0,3,4.0,60,767.7
pigeonsPlus-09-03.xml.hg,3.0,4.5,3,5.0,60,497.35
pigeonsPlus-09-04.xml.hg,2.5,4.5,3,5.0,60,593.47
pigeonsPlus-09-05.xml.hg,3.0,4.5,3,5.0,60,674.11
pigeonsPlus-09-06.xml.hg,3.0,4.5,3,5.0,60,1004.67
pigeonsPlus-09-07.xml.hg,3.0,4.5,3,5.0,60,1070.83
pigeonsPlus-10-03.xml.hg,3.0,5.0,3,5.0,60,591.67
pigeonsPlus-10-04.xml.hg,3.5,5.0,4,5.0,60,851.16
pigeonsPlus-10-05.xml.hg,3.0,5.0,3,5.0,60,779.9
pigeonsPlus-10-06.xml.hg,3.0,5.0,3,5.0,60,1229.75
pigeonsPlus-10-07.xml.hg,3.0,5.0,3,5.0,60,1027.57
pigeonsPlus-11-02.xml.hg,3.5,5.5,4,6.0,60,924.23
pigeonsPlus-11-03.xml.hg,3.5,5.5,4,6.0,60,597.09
pigeonsPlus-11-04.xml.hg,3.5,5.5,4,6.0,60,890.37
pigeonsPlus-11-05.xml.hg,3.5,5.5,4,6.0,60,1358.38
pigeonsPlus-11-06.xml.hg,3.5,5.5,4,6.0,60,1936.33
pret-060-25.xml.hg,4.0,5.0,4,5.0,60,937.22
pret-060-40.xml.hg,4.0,5.0,4,5.0,60,1202.52
pret-060-60.xml.hg,4.0,5.0,4,5.0,60,983.11
pret-060-75.xml.hg,4.0,5.0,4,5.0,60,1068.11
pret-150-25.xml.hg,3.9999999257224035,5.5,4,6.0,52,3600
pret-150-40.xml.hg,3.9999986666657326,5.5,4,6.0,51,3600
pret-150-60.xml.hg,3.8158742949234488,5.5,4,6.0,50,3600
pret-150-75.xml.hg,3.764406810751376,5.5,4,6.0,50,3600
pret60_25.hg,4.0,5.0,4,5.0,60,1235.14
pret60_60.hg,4.0,5.0,4,5.0,60,1027.45
rand-10-20-10-5-10000-01.xml.hg,1.8,1.8,2,2.0,60,232.59
rand-10-20-10-5-10000-02.xml.hg,2.0,2.0,2,2.0,60,104.86
rand-10-20-10-5-10000-03.xml.hg,2.0,2.0,2,2.0,60,107.26
rand-10-20-10-5-10000-04.xml.hg,2.0,2.0,2,2.0,60,120.59
rand-10-20-10-5-10000-05.xml.hg,2.0,2.0,2,2.0,60,111.26
rand-10-20-10-5-10000-06.xml.hg,2.0,2.0,2,2.0,60,118.27
rand-10-20-10-5-10000-07.xml.hg,2.0,2.0,2,2.0,60,139.35
rand-10-20-10-5-10000-08.xml.hg,2.0,2.3333333333333335,2,3.0,60,169.07
rand-10-20-10-5-10000-09.xml.hg,2.0,2.0,2,2.0,60,104.77
rand-10-20-10-5-10000-10.xml.hg,2.0,2.0,2,2.0,60,104.57
