name,our_ghtw_lb,our_ghtw_ub,FraSMT_ghtw,Triangulator_ghtw,LogKDecomp_ghtw_lb,LogKDecomp_ghtw_ub
Kakuro-easy-033-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-034-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-easy-035-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-easy-036-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-easy-037-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-easy-038-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-039-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-easy-040-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-041-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-easy-042-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-043-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-044-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-045-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-easy-046-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-047-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-easy-048-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-easy-049-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-easy-050-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-051-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-052-ext.xml.hg,4,4.0,-1,4,4,4
Kakuro-easy-053-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-easy-054-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-easy-055-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-056-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-easy-057-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-easy-058-ext.xml.hg,3,4.0,3,3,3,3
Kakuro-easy-059-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-easy-060-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-061-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-easy-062-ext.xml.hg,3,4.0,-1,4,4,4
Kakuro-easy-064-ext.xml.hg,3,4.0,-1,4,4,4
Kakuro-easy-065-ext.xml.hg,3,4.0,-1,4,4,4
Kakuro-easy-068-ext.xml.hg,3,5.0,-1,4,4,4
Kakuro-easy-069-ext.xml.hg,3,4.0,-1,-1,3,3
Kakuro-easy-070-ext.xml.hg,2,4.0,-1,3,3,3
Kakuro-easy-071-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-easy-072-ext.xml.hg,4,4.0,-1,4,4,4
Kakuro-easy-073-ext.xml.hg,3,4.0,-1,3,3,3
Kakuro-easy-074-ext.xml.hg,3,4.0,-1,4,4,4
Kakuro-easy-075-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-easy-076-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-easy-083-ext.xml.hg,4,4.0,-1,-1,4,4
Kakuro-easy-084-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-easy-086-ext.xml.hg,3,4.0,-1,4,4,4
Kakuro-easy-087-ext.xml.hg,4,4.0,-1,4,4,4
Kakuro-easy-088-ext.xml.hg,3,4.0,3,3,3,3
Kakuro-easy-089-ext.xml.hg,3,4.0,-1,-1,4,4
Kakuro-easy-091-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-easy-093-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-easy-094-ext.xml.hg,4,4.0,-1,-1,4,4
Kakuro-easy-096-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-easy-097-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-098-ext.xml.hg,2,3.0,-1,3,3,3
Kakuro-easy-099-ext.xml.hg,3,4.0,-1,-1,4,4
Kakuro-easy-103-ext.xml.hg,6,7.0,-1,-1,6,7
Kakuro-easy-104-ext.xml.hg,4,6.0,-1,-1,5,5
Kakuro-easy-106-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-easy-109-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-easy-112-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-easy-113-ext.xml.hg,6,7.0,-1,-1,6,7
Kakuro-easy-114-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-115-ext.xml.hg,5,5.0,-1,-1,5,5
Kakuro-easy-117-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-118-ext.xml.hg,4,5.0,-1,-1,4,4
Kakuro-easy-120-ext.xml.hg,4,6.0,-1,-1,5,5
Kakuro-easy-121-ext.xml.hg,3,5.0,-1,-1,5,5
Kakuro-easy-122-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-easy-123-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-124-ext.xml.hg,5,5.0,-1,-1,5,5
Kakuro-easy-125-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-126-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-easy-127-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-easy-128-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-easy-129-ext.xml.hg,4,6.0,-1,-1,4,4
Kakuro-easy-130-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-easy-131-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-easy-132-ext.xml.hg,5,8.0,-1,-1,6,7
Kakuro-easy-133-ext.xml.hg,4,6.0,-1,-1,5,5
Kakuro-easy-134-ext.xml.hg,3,5.0,-1,-1,4,4
Kakuro-easy-135-ext.xml.hg,4,4.0,-1,-1,4,4
Kakuro-easy-136-ext.xml.hg,4,7.0,-1,-1,6,6
Kakuro-easy-138-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-139-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-easy-142-ext.xml.hg,5,8.0,-1,-1,6,8
Kakuro-easy-146-ext.xml.hg,5,8.0,-1,-1,6,7
Kakuro-easy-148-ext.xml.hg,5,7.0,-1,-1,6,7
Kakuro-easy-149-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-150-ext.xml.hg,5,7.0,-1,-1,7,7
Kakuro-easy-151-ext.xml.hg,5,8.0,-1,-1,6,7
Kakuro-easy-152-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-easy-153-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-154-ext.xml.hg,5,5.0,-1,-1,5,5
Kakuro-easy-155-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-easy-156-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-easy-157-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-161-ext.xml.hg,5,7.0,-1,-1,7,7
Kakuro-easy-162-ext.xml.hg,4,4.0,-1,-1,4,4
Kakuro-easy-163-ext.xml.hg,5,8.0,-1,-1,6,8
Kakuro-easy-164-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-easy-165-ext.xml.hg,5,8.0,-1,-1,6,7
Kakuro-hard-000-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-001-ext.xml.hg,2,3.0,3,3,3,3
Kakuro-hard-002-ext.xml.hg,2,2.0,2,2,2,2
Kakuro-hard-003-ext.xml.hg,2,3.0,3,3,3,3
Kakuro-hard-004-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-005-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-006-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-007-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-008-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-009-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-010-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-011-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-012-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-013-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-014-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-015-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-hard-016-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-017-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-018-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-019-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-020-ext.xml.hg,2,4.0,4,4,4,4
Kakuro-hard-021-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-022-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-023-ext.xml.hg,1,4.0,4,4,4,4
Kakuro-hard-024-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-025-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-026-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-027-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-028-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-029-ext.xml.hg,2,3.0,3,3,3,3
Kakuro-hard-030-ext.xml.hg,2,4.0,4,4,4,4
Kakuro-hard-031-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-032-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-033-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-034-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-035-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-036-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-037-ext.xml.hg,4,5.0,5,5,5,5
Kakuro-hard-038-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-039-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-hard-040-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-041-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-hard-042-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-043-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-hard-044-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-045-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-hard-046-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-047-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-hard-048-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-hard-049-ext.xml.hg,3,4.0,3,3,3,3
Kakuro-hard-050-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-051-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-052-ext.xml.hg,4,4.0,-1,4,4,4
Kakuro-hard-053-ext.xml.hg,4,5.0,-1,5,5,5
Kakuro-hard-054-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-hard-055-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-hard-056-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-057-ext.xml.hg,4,4.0,4,4,4,4
Kakuro-hard-058-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-059-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-hard-060-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-061-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-hard-062-ext.xml.hg,3,4.0,-1,4,4,4
Kakuro-hard-064-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-065-ext.xml.hg,3,4.0,-1,4,4,4
Kakuro-hard-068-ext.xml.hg,3,5.0,-1,4,4,4
Kakuro-hard-069-ext.xml.hg,3,4.0,-1,-1,3,3
Kakuro-hard-070-ext.xml.hg,3,4.0,-1,3,3,3
Kakuro-hard-071-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-hard-072-ext.xml.hg,3,4.0,-1,4,4,4
Kakuro-hard-073-ext.xml.hg,3,4.0,-1,3,3,3
Kakuro-hard-074-ext.xml.hg,3,4.0,-1,4,4,4
Kakuro-hard-075-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-hard-078-ext.xml.hg,3,5.0,-1,4,4,4
Kakuro-hard-083-ext.xml.hg,4,4.0,-1,-1,4,4
Kakuro-hard-084-ext.xml.hg,3,5.0,-1,5,5,5
Kakuro-hard-086-ext.xml.hg,3,4.0,-1,4,4,4
Kakuro-hard-087-ext.xml.hg,4,4.0,-1,4,4,4
Kakuro-hard-088-ext.xml.hg,3,4.0,3,3,3,3
Kakuro-hard-090-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-hard-092-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-hard-093-ext.xml.hg,3,3.0,-1,3,3,3
Kakuro-hard-094-ext.xml.hg,3,5.0,-1,-1,4,4
Kakuro-hard-096-ext.xml.hg,3,4.0,3,3,3,3
Kakuro-hard-097-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-098-ext.xml.hg,3,4.0,-1,3,3,3
Kakuro-hard-099-ext.xml.hg,3,4.0,-1,-1,4,4
Kakuro-hard-103-ext.xml.hg,6,7.0,-1,-1,6,7
Kakuro-hard-104-ext.xml.hg,4,6.0,-1,-1,5,5
Kakuro-hard-106-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-hard-109-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-hard-112-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-hard-113-ext.xml.hg,5,7.0,-1,-1,7,7
Kakuro-hard-114-ext.xml.hg,4,6.0,-1,-1,5,5
Kakuro-hard-115-ext.xml.hg,4,6.0,-1,-1,5,5
Kakuro-hard-116-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-118-ext.xml.hg,5,6.0,-1,-1,5,5
Kakuro-hard-119-ext.xml.hg,4,5.0,-1,-1,4,4
Kakuro-hard-121-ext.xml.hg,5,6.0,-1,-1,5,5
Kakuro-hard-122-ext.xml.hg,3,5.0,-1,-1,5,5
Kakuro-hard-123-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-hard-124-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-125-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-126-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-127-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-hard-128-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-hard-129-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-hard-130-ext.xml.hg,4,5.0,-1,-1,4,4
Kakuro-hard-131-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-hard-132-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-hard-133-ext.xml.hg,5,7.0,-1,-1,6,7
Kakuro-hard-134-ext.xml.hg,4,6.0,-1,-1,5,5
Kakuro-hard-135-ext.xml.hg,3,5.0,-1,-1,4,4
Kakuro-hard-136-ext.xml.hg,4,4.0,-1,-1,4,4
Kakuro-hard-137-ext.xml.hg,6,6.0,-1,-1,6,6
Kakuro-hard-138-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-hard-140-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-141-ext.xml.hg,6,6.0,-1,-1,6,6
Kakuro-hard-144-ext.xml.hg,5,8.0,-1,-1,6,8
Kakuro-hard-145-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-149-ext.xml.hg,3,5.0,-1,-1,4,4
Kakuro-hard-150-ext.xml.hg,5,8.0,-1,-1,6,7
Kakuro-hard-151-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-153-ext.xml.hg,5,7.0,-1,-1,6,7
Kakuro-hard-154-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-155-ext.xml.hg,6,7.0,-1,-1,7,7
Kakuro-hard-156-ext.xml.hg,4,6.0,-1,-1,6,6
Kakuro-hard-157-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-158-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-159-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-hard-161-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-hard-162-ext.xml.hg,6,8.0,-1,-1,6,8
Kakuro-hard-163-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-165-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-hard-168-ext.xml.hg,5,6.0,-1,-1,6,6
Kakuro-hard-169-ext.xml.hg,5,7.0,-1,-1,7,7
Kakuro-hard-170-ext.xml.hg,4,4.0,-1,-1,4,4
Kakuro-hard-171-ext.xml.hg,4,6.0,-1,-1,5,5
Kakuro-hard-172-ext.xml.hg,5,8.0,-1,-1,6,8
Kakuro-hard-173-ext.xml.hg,4,5.0,-1,-1,5,5
Kakuro-hard-174-ext.xml.hg,5,7.0,-1,-1,6,7
Kakuro-medium-000-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-001-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-002-ext.xml.hg,2,2.0,2,2,2,2
Kakuro-medium-003-ext.xml.hg,3,3.0,3,3,3,3
Kakuro-medium-004-ext.xml.hg,3,4.0,3,3,3,3
Kakuro-medium-005-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-006-ext.xml.hg,3,4.0,4,4,4,4
Kakuro-medium-007-ext.xml.hg,3,3.0,3,3,3,3
