name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,FraSMT_fhtw,Triangulator_fhtw,FraSMT_ghtw,Triangulator_ghtw,LogKDecomp_ghtw_lb,LogKDecomp_ghtw_ub,htdLeo_htw
rand_q0457.hg,2.4,2.5,3,4.0,2.5,2.5,3,3,3,3,3
rand_q0458.hg,3.4222552835447453,8.31195335276968,4,11.0,-1,-1,-1,-1,9,9,inf
rand_q0459.hg,2.9330515145897644,6.666666666666667,3,9.0,-1,6.485,-1,7,7,7,inf
rand_q0460.hg,2.3827433628318584,2.563973063973064,3,4.0,2.564,2.564,3,3,3,3,3
rand_q0461.hg,4.153846153846154,4.432214765100671,5,6.0,4.4,4.4,-1,6,6,6,inf
rand_q0462.hg,2.472049689440994,2.70989010989011,3,4.0,2.71,2.71,3,3,3,3,3
rand_q0463.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,inf
rand_q0464.hg,4.999999586122408,5.5,5,6.0,5.5,5.5,-1,6,6,6,6
rand_q0465.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
rand_q0466.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
rand_q0467.hg,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
rand_q0468.hg,2.661287141596572,5.640648208662588,3,8.0,-1,5.625,-1,8,8,8,inf
rand_q0469.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,1
rand_q0470.hg,4.9750000000000005,5.6,5,7.0,-1,5.314,-1,6,6,6,6
rand_q0471.hg,3.0610787238079835,7.1461809635722675,4,10.0,-1,6.955,-1,8,8,8,inf
rand_q0472.hg,3.874630828865624,9.534306116113008,4,12.0,-1,-1,-1,-1,10,inf,inf
rand_q0473.hg,5.444444444444445,5.75,6,7.0,-1,5.6,-1,6,6,6,6
rand_q0474.hg,4.444444444444445,4.855491329479769,5,6.0,4.765,4.765,-1,6,6,6,6
rand_q0475.hg,1,1.0,1,1.0,1.0,1.0,1,1,1,1,inf
rand_q0476.hg,2.0,2.5,2,3.0,2.5,2.5,3,3,3,3,3
rand_q0477.hg,3.1294801720008794,7.21875,4,10.0,-1,7.007,-1,-1,8,8,inf
rand_q0478.hg,6.0,8.5,6,9.0,-1,-1,-1,-1,8,8,inf
rand_q0479.hg,3.2857142857142856,3.6666666666666665,4,4.0,3.625,3.625,4,4,4,4,4
rand_q0480.hg,2.772033633773975,5.68120723252685,3,9.0,-1,5.677,-1,8,8,8,inf
rand_q0481.hg,4.0,4.0,4,4.0,4.0,4.0,4,4,4,4,4
rand_q0482.hg,2.734854631019274,6.3552238805970145,3,8.0,-1,6.048,-1,7,7,7,inf
rand_q0483.hg,2.255569188088672,4.6186046511627925,3,6.0,-1,4.495,-1,6,6,6,inf
rand_q0484.hg,4.0,4.179347826086956,4,6.0,4.154,4.154,-1,6,6,6,6
rand_q0485.hg,2.928830339197531,6.770592763664357,3,10.0,-1,6.585,-1,-1,8,8,inf
rand_q0486.hg,4.0,4.777777777777779,4,6.0,4.778,4.778,5,5,5,5,5
rand_q0487.hg,4.751268838495224,5.088730569948186,5,7.0,-1,4.964,-1,6,6,6,inf
rand_q0488.hg,2.676393757423321,5.88740818229368,3,8.0,-1,5.734,-1,7,7,7,inf
rand_q0489.hg,3.0,3.5,3,4.0,3.5,3.5,4,4,4,4,4
rand_q0490.hg,4.0,5.0,4,5.0,5.0,5.0,5,5,5,5,5
rand_q0491.hg,4.0,4.0,4,4.0,4.0,4.0,4,4,4,4,4
rand_q0492.hg,1.2222222222222223,1.222222222222222,2,2.0,1.222,1.222,2,2,2,2,2
rand_q0493.hg,2.5,2.5,3,3.0,2.5,2.5,3,3,3,3,3
rand_q0494.hg,3.0,3.333333333333333,3,4.0,3.333,3.333,4,4,4,4,4
rand_q0495.hg,2.7082636817505334,5.9876596252536105,3,8.0,-1,5.859,-1,8,8,8,inf
rand_q0496.hg,1.1666666666666665,1.1666666666666667,2,2.0,1.167,1.167,2,2,2,2,2
rand_q0497.hg,2.0702724662963456,4.006289876469825,3,6.0,-1,4.006,-1,5,5,5,inf
rand_q0498.hg,3.3185872574014184,8.0,4,11.0,-1,-1,-1,-1,9,9,inf
rand_q0499.hg,1.1428571428571428,1.1428571428571428,2,2.0,1.143,1.143,2,2,2,2,2
rand_q0500.hg,2.205041163170686,4.4154926310254705,3,6.0,4.368,4.368,5,5,5,5,5
reg-s20-p03-c20-d10-n10-l5-00.xml.hg,7.0,8.0,7,8.0,-1,-1,-1,-1,6,8,8
reg-s20-p03-c20-d10-n10-l5-01.xml.hg,7.0,8.0,7,8.0,8.0,-1,-1,-1,6,8,inf
reg-s20-p03-c20-d10-n10-l5-02.xml.hg,6.9999991658193945,8.0,7,8.0,7.0,-1,-1,7,6,7,7
reg-s20-p03-c20-d10-n10-l5-03.xml.hg,7.0,8.0,7,8.0,8.0,-1,-1,-1,6,8,8
reg-s20-p03-c20-d10-n10-l5-04.xml.hg,7.0,8.0,7,8.0,8.0,-1,-1,-1,6,inf,8
reg-s20-p03-c20-d10-n10-l5-05.xml.hg,7.0,8.0,7,8.0,7.0,-1,-1,7,6,7,7
reg-s20-p03-c20-d10-n10-l5-06.xml.hg,7.0,8.0,7,8.0,8.0,-1,-1,8,6,8,8
reg-s20-p03-c20-d10-n10-l5-07.xml.hg,7.0,9.0,7,9.0,8.0,-1,-1,8,6,inf,8
reg-s20-p03-c20-d10-n10-l5-08.xml.hg,7.0,8.0,7,8.0,8.0,-1,-1,-1,6,8,inf
reg-s20-p03-c20-d10-n10-l5-09.xml.hg,7.0,9.0,7,9.0,-1,-1,-1,-1,6,inf,8
reg-s20-p03-c20-d10-n10-l5-10.xml.hg,7.0,9.0,7,9.0,9.0,-1,-1,9,6,9,9
reg-s20-p03-c20-d10-n10-l5-11.xml.hg,7.0,8.0,7,8.0,8.0,-1,-1,-1,6,inf,8
reg-s20-p03-c20-d10-n10-l5-12.xml.hg,6.0,7.0,6,7.0,7.0,-1,-1,-1,6,7,inf
reg-s20-p03-c20-d10-n10-l5-13.xml.hg,6.4999995007495,7.0,7,7.0,7.0,-1,-1,7,6,7,inf
reg-s20-p03-c20-d10-n10-l5-14.xml.hg,7.0,8.0,7,8.0,8.0,-1,-1,8,6,8,8
