name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,FraSMT_fhtw,Triangulator_fhtw,FraSMT_ghtw,Triangulator_ghtw,LogKDecomp_ghtw_lb,LogKDecomp_ghtw_ub,htdLeo_htw
1.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
10.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
11.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
12.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
13.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
14.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
15.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
16.dtl,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
17.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
18.dtl,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
19.dtl,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
2.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
20.dtl,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
21.dtl,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
22.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
23.dtl,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
24.dtl,2.0,3.0,2,3.0,3.0,3.0,3,3,3,3,3
25.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
26.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
27.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
28.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
29.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
2bitcomp_5.hg,1,10.0,1,10.0,-1,-1,-1,-1,4,inf,inf
3.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
30.dtl,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
31.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
32.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
33.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
34.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
35.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
36.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
37.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
38.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
39.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
4.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
40.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
41.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
42.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
43.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
44.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
45.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
46.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
47.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
48.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
49.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
5.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
50.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
51.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
52.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
53.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
54.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
55.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
56.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
57.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
58.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
59.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
6.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
60.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
61.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
62.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
63.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
64.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
65.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
66.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
67.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
68.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
69.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
7.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
70.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
8.dtl,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
9.dtl,1.5,1.5,2,2.0,1.5,1.5,2,2,2,2,2
Dubois-015.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-016.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-017.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-018.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-019.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-020.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-021.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-022.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-023.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-024.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-025.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-026.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-027.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-028.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-029.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-030.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-035.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Dubois-040.xml.hg,2.0,2.0,2,2.0,-1,2.0,-1,2,2,2,2
Dubois-045.xml.hg,2.0,2.0,2,2.0,-1,2.0,-1,2,2,2,inf
Dubois-050.xml.hg,2.0,2.0,2,2.0,-1,2.0,-1,2,2,2,inf
Kakuro-easy-000-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-001-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-002-ext.xml.hg,2.0,2.0,2,2.0,2.0,2.0,2,2,2,2,2
Kakuro-easy-003-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-004-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-005-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-006-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-007-ext.xml.hg,3.0,3.0,3,3.0,-1,3.0,3,3,3,3,3
Kakuro-easy-008-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-009-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-010-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-011-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-012-ext.xml.hg,1.0714281428571428,3.0,2,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-013-ext.xml.hg,3.0,3.0,3,3.0,-1,3.0,3,3,3,3,3
Kakuro-easy-014-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-015-ext.xml.hg,4.0,4.0,4,4.0,-1,4.0,4,4,4,4,4
Kakuro-easy-016-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-017-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-018-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-019-ext.xml.hg,3.0,4.0,3,4.0,-1,4.0,4,4,4,4,4
Kakuro-easy-020-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-021-ext.xml.hg,3.0,3.0,3,3.0,3.0,-1,3,3,3,3,3
Kakuro-easy-022-ext.xml.hg,3.0,3.0,3,3.0,-1,3.0,3,3,3,3,3
Kakuro-easy-023-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,inf
Kakuro-easy-024-ext.xml.hg,2.0,3.0,2,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-025-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-026-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,4,4,4,4,4
Kakuro-easy-027-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-028-ext.xml.hg,4.0,4.0,4,4.0,-1,-1,4,4,4,4,4
Kakuro-easy-029-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-030-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-031-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-032-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-033-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-034-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-035-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-036-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-037-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,5,5,5,inf
Kakuro-easy-038-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,4,4,4,4,4
Kakuro-easy-039-ext.xml.hg,4.0,4.0,4,4.0,-1,-1,4,4,4,4,4
Kakuro-easy-040-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-041-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,5,5,5,inf
Kakuro-easy-042-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-043-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,4,4,4,4,4
Kakuro-easy-044-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-045-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,5,5,5,inf
Kakuro-easy-046-ext.xml.hg,3.0,4.0,3,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-047-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,5,5,5,inf
Kakuro-easy-048-ext.xml.hg,4.0,4.0,4,4.0,4.0,4.0,4,4,4,4,4
Kakuro-easy-049-ext.xml.hg,3.0,3.0,3,3.0,-1,-1,3,3,3,3,3
Kakuro-easy-050-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,4,4,4,4,4
Kakuro-easy-051-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-052-ext.xml.hg,4.0,4.0,4,4.0,-1,-1,-1,4,4,4,4
Kakuro-easy-053-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,5,5,5,inf
Kakuro-easy-054-ext.xml.hg,4.0,4.0,4,4.0,-1,4.0,4,4,4,4,4
Kakuro-easy-055-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,4,4,4,4,4
Kakuro-easy-056-ext.xml.hg,3.0,3.0,3,3.0,-1,3.0,3,3,3,3,3
Kakuro-easy-057-ext.xml.hg,4.0,4.0,4,4.0,-1,-1,4,4,4,4,4
Kakuro-easy-058-ext.xml.hg,3.0,4.0,3,4.0,3.0,3.0,3,3,3,3,3
Kakuro-easy-059-ext.xml.hg,3.0,3.0,3,3.0,-1,3.0,-1,3,3,3,3
Kakuro-easy-060-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,4,4,4,4,4
Kakuro-easy-061-ext.xml.hg,3.0,3.0,3,3.0,-1,-1,-1,3,3,3,inf
Kakuro-easy-062-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,-1,4,4,4,inf
Kakuro-easy-064-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,-1,4,4,4,inf
Kakuro-easy-065-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,-1,4,4,4,inf
Kakuro-easy-068-ext.xml.hg,3.0,5.0,3,5.0,-1,-1,-1,4,4,4,inf
Kakuro-easy-069-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,-1,-1,3,3,inf
Kakuro-easy-070-ext.xml.hg,1.4482758620689662,4.0,2,4.0,-1,3.0,-1,3,3,3,inf
Kakuro-easy-071-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,4,4,4,4,inf
Kakuro-easy-072-ext.xml.hg,3.999999500136427,4.0,4,4.0,-1,-1,-1,4,4,4,inf
Kakuro-easy-073-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,-1,3,3,3,inf
Kakuro-easy-074-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,-1,4,4,4,inf
Kakuro-easy-075-ext.xml.hg,3.0,3.0,3,3.0,-1,3.0,-1,3,3,3,inf
Kakuro-easy-076-ext.xml.hg,3.0,3.0,3,3.0,-1,3.0,-1,3,3,3,inf
Kakuro-easy-083-ext.xml.hg,3.999999666677249,4.0,4,4.0,-1,-1,-1,-1,4,4,inf
Kakuro-easy-084-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,5,5,5,inf
Kakuro-easy-086-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,-1,4,4,4,inf
Kakuro-easy-087-ext.xml.hg,4.0,4.0,4,4.0,-1,-1,-1,4,4,4,inf
Kakuro-easy-088-ext.xml.hg,3.0,4.0,3,4.0,3.0,-1,3,3,3,3,inf
Kakuro-easy-089-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,-1,-1,4,4,inf
Kakuro-easy-091-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,inf
Kakuro-easy-093-ext.xml.hg,3.0,3.0,3,3.0,-1,3.0,-1,3,3,3,inf
Kakuro-easy-094-ext.xml.hg,4.0,4.0,4,4.0,-1,-1,-1,-1,4,4,inf
Kakuro-easy-096-ext.xml.hg,3.0,3.0,3,3.0,3.0,3.0,3,3,3,3,inf
Kakuro-easy-097-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-098-ext.xml.hg,2.0,3.0,2,3.0,-1,3.0,-1,3,3,3,inf
Kakuro-easy-099-ext.xml.hg,3.0,4.0,3,4.0,-1,-1,-1,-1,4,4,inf
Kakuro-easy-103-ext.xml.hg,6.0,7.0,6,7.0,-1,-1,-1,-1,6,7,inf
Kakuro-easy-104-ext.xml.hg,4.0,6.0,4,6.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-106-ext.xml.hg,5.0,6.0,5,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-109-ext.xml.hg,4.999998222222212,6.0,5,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-112-ext.xml.hg,4.0,6.0,4,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-113-ext.xml.hg,6.0,7.0,6,7.0,-1,-1,-1,-1,6,7,inf
Kakuro-easy-114-ext.xml.hg,3.355377066191422,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-115-ext.xml.hg,4.999998750114104,5.0,5,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-117-ext.xml.hg,3.7820998002849273,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-118-ext.xml.hg,3.999999204094415,5.0,4,5.0,-1,-1,-1,-1,4,4,inf
Kakuro-easy-120-ext.xml.hg,4.0,6.0,4,6.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-121-ext.xml.hg,3.0,5.0,3,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-122-ext.xml.hg,4.0,6.0,4,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-123-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-124-ext.xml.hg,4.999998,5.0,5,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-125-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-126-ext.xml.hg,4.999998499999999,6.0,5,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-127-ext.xml.hg,3.7583416443171886,6.0,4,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-128-ext.xml.hg,4.999998523862714,6.0,5,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-129-ext.xml.hg,3.046481178396072,6.0,4,6.0,-1,-1,-1,-1,4,4,inf
Kakuro-easy-130-ext.xml.hg,5.0,6.0,5,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-131-ext.xml.hg,3.9999999999999987,6.0,4,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-132-ext.xml.hg,4.88830752159877,8.0,5,8.0,-1,-1,-1,-1,6,7,inf
Kakuro-easy-133-ext.xml.hg,3.9999993336,6.0,4,6.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-134-ext.xml.hg,3.0,5.0,3,5.0,-1,-1,-1,-1,4,4,inf
Kakuro-easy-135-ext.xml.hg,4.0,4.0,4,4.0,-1,-1,-1,-1,4,4,inf
Kakuro-easy-136-ext.xml.hg,3.8925980688330077,7.0,4,7.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-138-ext.xml.hg,3.8037476686119596,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-139-ext.xml.hg,4.3044870263630255,6.0,5,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-142-ext.xml.hg,4.453266532647094,8.0,5,8.0,-1,-1,-1,-1,6,8,inf
Kakuro-easy-146-ext.xml.hg,4.871935816287447,8.0,5,8.0,-1,-1,-1,-1,6,7,inf
Kakuro-easy-148-ext.xml.hg,4.404143027715559,7.0,5,7.0,-1,-1,-1,-1,6,7,inf
Kakuro-easy-149-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-150-ext.xml.hg,4.718347370021805,7.0,5,7.0,-1,-1,-1,-1,7,7,inf
Kakuro-easy-151-ext.xml.hg,4.957216806793913,8.0,5,8.0,-1,-1,-1,-1,6,7,inf
Kakuro-easy-152-ext.xml.hg,3.995270512272767,6.0,4,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-153-ext.xml.hg,3.2675221106830055,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-154-ext.xml.hg,5.0,5.0,5,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-155-ext.xml.hg,4.9999999236109725,6.0,5,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-156-ext.xml.hg,5.0,6.0,5,6.0,-1,-1,-1,-1,6,6,inf
Kakuro-easy-157-ext.xml.hg,4.0,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-161-ext.xml.hg,4.9999986462473895,7.0,5,7.0,-1,-1,-1,-1,7,7,inf
Kakuro-easy-162-ext.xml.hg,4.0,4.0,4,4.0,-1,-1,-1,-1,4,4,inf
Kakuro-easy-163-ext.xml.hg,4.540710586040022,8.0,5,8.0,-1,-1,-1,-1,6,8,inf
Kakuro-easy-164-ext.xml.hg,3.0923994038748126,5.0,4,5.0,-1,-1,-1,-1,5,5,inf
Kakuro-easy-165-ext.xml.hg,4.6882920721821675,8.0,5,8.0,-1,-1,-1,-1,6,7,inf
